"Modo","Op","SE","Hilos","Tiempo"
"Secuencial","Erosion","Cuadrado3x3","-","65.301"
"Secuencial","Erosion","Cruz3x3","-","60.992"
"Secuencial","Erosion","X3x3","-","58.466"
"Secuencial","Erosion","LineaH1x3","-","57.823"
"Secuencial","Erosion","Diamante5x5","-","89.895"
"Secuencial","Dilatacion","Cuadrado3x3","-","61.638"
"Paralelo","Erosion","Cuadrado3x3","2","60.947"
"Paralelo","Erosion","Cuadrado3x3","4","57.498"
"Paralelo","Erosion","Cuadrado3x3","8","74.917"
"Paralelo","Erosion","Cuadrado3x3","16","65.208"
"Paralelo","Dilatacion","Cuadrado3x3","2","53.591"
"Paralelo","Dilatacion","Cuadrado3x3","4","55.629"
"Paralelo","Dilatacion","Cuadrado3x3","8","57.761"
"Paralelo","Dilatacion","Cuadrado3x3","16","92.011"
"Secuencial","Erosion","Cuadrado3x3(ignore)","-","55.483"
