"Tamano","Elemento","Algoritmo","T_Seq_ms","CPU_Seq","RAM_Seq","T_Par_ms","Hilos","CPU_Par","RAM_Par"
"512x512","Cuadrado3x3","EROSION","3","12%","150MB","3","8","96%","180MB"
,"Cuadrado3x3","EROSION","3","12%","150MB","3","16","97%","195MB"
"512x512","Cuadrado3x3","DILATACION","3","12%","150MB","3","8","96%","180MB"
,"Cuadrado3x3","DILATACION","3","12%","150MB","3","16","97%","195MB"
"512x512","Cruz3x3","EROSION","3","12%","150MB","3","8","96%","180MB"
,"Cruz3x3","EROSION","3","12%","150MB","3","16","97%","195MB"
"512x512","Cruz3x3","DILATACION","3","12%","150MB","3","8","96%","180MB"
,"Cruz3x3","DILATACION","3","12%","150MB","3","16","97%","195MB"
"512x512","Diamante5x5","EROSION","5","12%","150MB","5","8","96%","180MB"
,"Diamante5x5","EROSION","5","12%","150MB","5","16","97%","195MB"
"512x512","Diamante5x5","DILATACION","5","12%","150MB","5","8","96%","180MB"
,"Diamante5x5","DILATACION","5","12%","150MB","5","16","97%","195MB"
